file,Time,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
064_SMD_id_8_Facility_tr_2272_1st_2372.csv,1.0728404521942139,0.25002319262195405,0.8586420177513969,0.27666296196646856,0.8908902067435801,0.2655002047409872,0.9498069498069498,0.7058823529411759,0.3060232742951958,0.901013010453245
065_SMD_id_9_Facility_tr_737_1st_837.csv,0.630216121673584,0.6849943625809042,0.9228537475142928,0.6954456224611097,0.9297991469428213,0.7171123920798835,0.9918495297805643,0.8484026986229625,0.5616647581432753,0.8942727497913397
066_SMD_id_10_Facility_tr_2634_1st_2734.csv,1.0981707572937012,0.5934075543286491,0.9635630510098627,0.5077939486973725,0.9567681693844843,0.6520455586815019,0.988089073019161,0.7575757575757569,0.3255000862377886,0.7795171175889154
067_SMD_id_11_Facility_tr_1980_1st_2080.csv,0.8746578693389893,0.028738497010813546,0.20608692235481835,0.02972189286998994,0.21612928903493694,0.09249459934845325,0.13689292814541323,0.1999999999999998,0.44788758057832573,0.690211364907885
068_SMD_id_12_Facility_tr_1099_1st_1199.csv,0.910428524017334,0.356203749834666,0.8183552251740485,0.15159963781530605,0.821186982718552,0.4592554908402496,0.7747440273037542,0.5571847507331373,0.23503713411970295,0.752266069530591
069_SMD_id_13_Facility_tr_5925_1st_12760.csv,1.9022023677825928,0.15300070055431456,0.6155137716793114,0.1502769160129647,0.6133395922503407,0.25698682151595087,0.9262266148958701,0.42857142857142816,0.2550567404112703,0.7334020303402178
070_SMD_id_14_Facility_tr_1070_1st_1170.csv,0.734630823135376,0.3078494912622698,0.837192527584987,0.16197736708633811,0.8337537171675912,0.4276685115765852,0.5365025466893037,0.567839195979899,0.39056723533011767,0.7515508333432064
071_SMD_id_15_Facility_tr_1109_1st_1209.csv,0.7451744079589844,0.4007606355210144,0.8169701177942934,0.21243213445974946,0.8121660521503525,0.4630032652226382,0.7925608011444921,0.5935251798561145,0.20981023988542788,0.8104978979518697
073_SMD_id_17_Facility_tr_5926_1st_10620.csv,1.9044828414916992,0.5701481076614541,0.9377726001863933,0.3463232761087972,0.9511695107134325,0.6511579232381154,0.9528795811518325,0.8333333333333327,0.5380579562158,0.8410997154401532
074_SMD_id_18_Facility_tr_7174_1st_21230.csv,2.237088680267334,0.10856234376047219,0.8879691007910532,0.06841626402431324,0.921266116463767,0.14775947551479474,0.7777777777777778,0.4999999999999996,0.7705139662244219,0.7902697636395153
075_SMD_id_19_Facility_tr_564_1st_664.csv,0.6336269378662109,0.6088875301346657,0.9282216565336158,0.18028411554223256,0.873838711969765,0.7207822112427278,0.8448753462603878,0.20095080391004724,0.1646567585565157,0.6888177882296895
076_SMD_id_20_Facility_tr_5925_1st_17580.csv,1.8640844821929932,0.9637071308060514,0.9911576033530136,0.8957067573635937,0.9921140540036865,0.9777727802724564,1.0,0.9999999999999996,0.9823008849557522,0.9999962003774199
077_SMD_id_21_Facility_tr_3026_1st_3126.csv,1.0773236751556396,0.1282784988056607,0.7668506968017164,0.15018520845350405,0.8459212676399862,0.14800666446808747,0.5403788634097707,0.35149863760217936,0.17605554354264014,0.7509686337248749
078_SMD_id_22_Facility_tr_500_1st_326.csv,0.6280534267425537,0.6586148840145418,0.7923856455671153,0.21181828168784889,0.5582923384589061,0.7625097913307567,0.8796147672552167,0.37499999999999967,0.5131194432198206,0.7665047210387919
079_LTDB_id_1_Medical_tr_3618_1st_3718.csv,1.759577989578247,0.4055950475922035,0.700957013820556,0.47598011530948603,0.7939718490070976,0.3736491688435228,0.9993239131904537,0.9956709956709952,0.39523378762301353,0.9393627006233838
080_LTDB_id_2_Medical_tr_500_1st_266.csv,1.1328339576721191,0.1340138392729051,0.4626791352703477,0.1875380626897262,0.5615808600265865,0.25871166617586033,0.48207517372078335,0.2587065542940723,0.2560443733686844,0.6867429896896148
081_LTDB_id_3_Medical_tr_500_1st_26.csv,1.065920114517212,0.4512273646894146,0.606193227414878,0.5003937417113511,0.6739691167830141,0.4801100015374248,0.9906630496498644,0.8880576154693584,0.33565573095760287,0.8553829985267175
083_LTDB_id_5_Medical_tr_15502_1st_15602.csv,4.536036968231201,0.02992948594250304,0.6679939934291936,0.021410073663935898,0.6780557919617783,0.09111665741579492,0.957345971563981,0.4418604651162787,0.2982016959977102,0.9229557889141506
084_SVDB_id_1_Medical_tr_12973_1st_13073.csv,4.951536417007446,0.0580172460254339,0.5927308291393378,0.03674069245943281,0.6714981884754121,0.0785856492430614,0.6831896551724138,0.5276013678553976,0.15904552401862665,0.7017770173857503
085_SVDB_id_2_Medical_tr_50000_1st_54982.csv,10.112026453018188,0.05998583633886742,0.52118002917986,0.05706395857787582,0.6080239509442482,0.08205288335301704,0.8531893004115226,0.6823027718550102,0.20904042094799488,0.7589320313284392
086_SVDB_id_3_Medical_tr_533_1st_633.csv,2.125622272491455,0.08188223693865164,0.5300062761352831,0.11009227312481289,0.6287874047998063,0.147019290200553,0.7048594847775177,0.18963684181075469,0.13210111668278687,0.72631751098735
087_SVDB_id_4_Medical_tr_5421_1st_5521.csv,3.22306227684021,0.22297299880540786,0.6626857921736466,0.23426241076485546,0.7221785265889218,0.23835474802996265,0.970102527979964,0.9523512652506494,0.36021355635872876,0.9458455301243781
088_SVDB_id_5_Medical_tr_500_1st_168.csv,2.190563678741455,0.10526563753987793,0.4938530139094353,0.1438084914918667,0.6046136621894409,0.18066092576950782,0.9006608881843076,0.3843662542023828,0.15144726468629496,0.7107478314883768
089_SVDB_id_6_Medical_tr_50000_1st_83083.csv,8.40502643585205,0.0425782844321266,0.6635894036803439,0.03248555222133333,0.6920170557331949,0.07467466677233979,0.9407916257769054,0.5594405594405589,0.2203056262180886,0.7768576404138346
091_SVDB_id_8_Medical_tr_500_1st_126.csv,2.097289800643921,0.17203536696722585,0.5952430606184148,0.17998472230620657,0.6619823663284654,0.2252182876990333,0.9424706241840051,0.7646180356117168,0.24518711015163205,0.8067705539241408
092_SVDB_id_9_Medical_tr_2674_1st_2774.csv,2.553577423095703,0.20995338345388845,0.6308968597156239,0.20192227391420983,0.6719394648844565,0.24389271978991042,0.9126335113484646,0.7203540723406414,0.2282365740570222,0.8104664101568159
093_SVDB_id_10_Medical_tr_500_1st_37.csv,2.1163394451141357,0.09267073242977383,0.5076838994083883,0.13076976372561042,0.623980541267037,0.1488125657676397,0.7759348612786489,0.5202312138728318,0.16716434902311758,0.7144541866327828
094_SVDB_id_11_Medical_tr_20100_1st_23611.csv,5.0391011238098145,0.05750326190498317,0.5785060326649906,0.0283519684230294,0.6480775811354063,0.07911456400518949,0.9008714596949892,0.7692307692307687,0.25838237788259055,0.8349171543995726
095_SVDB_id_12_Medical_tr_6264_1st_6364.csv,3.3416924476623535,0.03928433630100681,0.4836798999643691,0.045691066261830386,0.5730591657433337,0.06275979015053867,0.8707073295745772,0.3589743589743585,0.1099379334767646,0.7172293874240129
096_SVDB_id_13_Medical_tr_500_1st_444.csv,2.477144718170166,0.04503929809288995,0.4902288314023279,0.05049266936818896,0.5788774830625347,0.06499497828376037,0.8864823051634114,0.47474132684114384,0.13415059733745044,0.7533880758481225
097_SVDB_id_14_Medical_tr_1031_1st_1131.csv,2.115993022918701,0.4448381197904784,0.6987554413154122,0.48654977683392775,0.7828189921257365,0.4103073929711484,0.9979988101033047,0.9975903614457826,0.41373675500462037,0.97734599233794
098_SVDB_id_15_Medical_tr_500_1st_303.csv,2.0880045890808105,0.13784777726686923,0.5215334634283314,0.1569577866857327,0.6459192567500885,0.12853254214334028,0.8675189040724288,0.7287400169544455,0.22367995795154197,0.7931455249026137
